reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.213,49.84,60,0,-4.6,1,10,99.89,32,34.65,0,-10.29,1,0.1,286.24,50.26,30,0,-7.51,3.77,5.59,209.69,60,30,0,-0.02,2.87,10,300
0.245,32.31,60,0,-1.49,1,10,50,60,30,0.54,-2.16,1,0.1,300,52.72,30,0.32,-5.92,1.32,4.06,88.4,60,30,0,-7.66,1,10,300
0.266,19.62,60,0,0,1.02,10,50,60,30,0.72,0,1,0.1,233.07,60,30,1.39,0,1,6.76,226.12,60,30,0,-8.33,1,10,300
0.244,52.06,60,0,0,1,10,50,60,30,0.5,0,1,0.1,246.74,46.24,30,1.18,0,1,0.1,152.52,60,30,0,-10.35,1,10,300
0.272,18.16,60,0,-3.67,1,10,50,60,30,0.46,0,1,0.1,281.18,45.18,30,2,0,4.42,3.85,257.98,60,30,0,-15,1,10,300
0.207,38.34,60,0,-3.36,3.64,10,50,60,41.04,1.04,0,1,0.1,289.99,51.29,30,2,0,10,0.6,219.45,56.77,30,0,-15,1,10,300
0.253,50.2,60,0,0,1.62,10,50,60,30.92,0.4,0,1,0.1,300,60,30,2,-4.8,10,0.1,194.56,44.06,30,0,-13.56,1,10,300
0.243,47.27,60,0,0,3.85,4.79,50,60,30,0,0,1,0.1,300,60,30,2,0,10,0.62,50,34.25,30,0,-15,1,10,300
0.228,38.65,60,0,0,5.38,4.01,50,60,30,0.38,0,1,0.1,300,60,30,2,-4.37,10,0.1,86.19,42.04,46.34,0,-15,1,10,300
0.3,19.55,60,0,-0.97,1,10,50,60,30,0.1,0,1,0.1,300,54.47,30,2,-9.32,10,0.1,50.62,15,56.43,0,-1.51,1,10,300
0.224,60,60,0,-3.98,1,10,50,60,30,0.56,0,1,0.1,300,56.62,30,2,-3.95,10,0.1,82.69,48.18,60,0,-2.95,1,10,300
0.26,47.78,60,0.62,-7.73,1,8.33,50,60,30.37,1.04,0,1,0.1,300,60,30,2,-9.08,10,0.1,95.54,56.49,44.58,0,0,1,10,300
0.222,29.59,60,0.64,0,1,10,50,60,46.42,1.76,0,1,0.1,300,60,30,2,0,10,0.1,270.59,36.67,30,0,-2.25,1,10,300
0.267,15,60,0,0,1,10,50,60,55.22,2,0,7.52,0.1,300,60,30,2,0,10,0.1,300,20.62,30.39,0,0,1,10,300
0.278,21.92,60,0,0,1,10,50,60,58.06,2,0,10,0.1,300,15,30,2,0,10,0.1,300,24.36,30,0,0,1,10,300
0.213,60,60,0,0,1,10,50,60,60,2,0,10,0.1,300,15,30,2,0,10,0.1,300,39.74,42.19,0,0,1,10,300
0.281,60,60,0,0,1,10,50,60,30,2,0,8.28,0.1,300,15,30,2,0,10,0.1,300,45.01,36.52,0,0,1,9.76,300
