reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.403,60,45.94,2,-15,6.79,0.1,50,60,30,1.89,0,10,0.1,300,15,30,0,-15,1,0.1,300,60,60,2,0,1,10,244.3
0.414,60,41.55,2,-15,10,0.1,50,60,30,2,0,10,0.1,300,15,30,0,-15,1,0.1,300,60,60,1.59,0,1,10,247.91
0.417,60,42.12,2,-15,10,0.1,50,60,30,2,0,10,0.1,300,15,30,0,-15,1,0.1,300,60,47.14,2,0,1,7.82,300
0.45,60,31.8,2,-15,10,0.1,50,60,30,2,0,10,0.1,300,15,30,0,-15,1.65,0.1,300,60,54.7,1.29,-0.4,1,5.14,300
0.452,60,30,2,-15,10,0.1,50,60,43.48,2,0,10,0.1,300,15,30,0,-15,3.1,0.1,300,60,45.69,1.74,-4.63,1,1.14,295.2
0.399,60,40.02,2,-15,10,0.1,50,60,48.39,2,0,10,0.1,300,15,30,0,-15,1.69,0.1,300,60,60,2,-8.33,1,5.67,291.64
0.445,41.55,33.95,2,-15,10,0.1,50,60,36.96,2,0,10,0.1,300,15,30,0,-15,10,0.1,300,60,60,2,-12.62,1,0.1,216.31
0.48,18.65,30,2,-14.38,10,0.1,50,60,60,2,0,10,0.1,300,15,30,0,-15,10,0.1,300,60,60,2,-15,1,0.1,122.15
0.419,50.84,30,2,-10.44,10,0.1,50,60,60,1.75,0,10,0.1,300,15,30,0,-15,10,0.1,300,60,60,2,-15,1,0.1,197.13
0.429,27.99,30,2,-11.38,10,0.1,50,60,60,2,0,10,0.1,300,15,30,0,-15,10,6.41,300,60,60,2,-15,1,0.1,164.2
0.445,60,30,2,-15,10,0.1,50,60,60,2,0,10,0.1,300,15,30,0,-15,10,3.69,300,60,60,2,-15,1,0.1,213.76
