reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.596,60,30,2,0,10,10,50,15,30,1.07,-15,10,0.1,300,60,60,2,-15,1,5.05,300,15,51.52,0,-15,8.58,10,178.71
0.59,60,30,2,0,10,10,50,15,30,0,-15,10,0.1,300,60,60,2,-15,1,4.6,300,15,60,0,-14.84,8.09,10,267.32
0.589,60,30,2,0,10,10,50,15,30,0,-15,10,0.1,300,60,60,2,-15,1,0.82,300,15,60,0,-8.93,10,10,50
0.588,60,30,2,0,10,10,50,15,30,0,-15,10,0.1,300,60,60,2,-15,1,1.65,300,15,60,0,-12.01,10,10,50
0.589,60,30,2,0,10,8.05,50,15,30,0,-15,10,0.1,300,60,60,2,-15,1,0.1,300,15,60,0,-10.79,10,10,50
0.591,60,30,2,0,10,3.44,50,15,30,0,-15,10,0.1,258.58,60,60,2,-15,1,1.25,300,15,60,0,-11.34,10,10,50
0.606,60,30,2,0,10,0.1,50,15,30,0,-15,10,0.1,50,60,60,2,-15,1,0.1,300,15,60,0,-15,10,10,50
0.605,60,30,2,0,10,0.1,50,15,30,0,-15,10,0.1,50,60,50.73,2,-15,1,0.1,300,15,60,0,-15,10,10,50
0.606,60,30,2,0,10,0.1,50,15,30,0,-15,10,0.1,117.26,60,37.04,2,-15,1,0.1,300,15,60,0,-15,10,10,50
0.604,60,30,2,0,10,0.1,50,15,30,0,-15,10,0.1,206.39,60,30,2,-15,1,0.1,300,15,60,0,-15,10,10,50
0.616,60,30,2,0,10,0.1,50,15,30,0,-15,10,0.1,50,60,30,2,-15,1,0.1,300,15,60,0,-15,10,10,50
0.611,60,30,2,0,10,0.1,50,15,30,0,-15,10,0.1,50,60,34.75,2,-15,1,0.1,300,15,47.68,0,-15,10,10,50
0.54,60,60,0.31,-3.39,6.62,3.34,300,47.5,60,1.13,-15,10,4.55,192.43,18.79,48.59,0,-15,2.99,7.08,300,27.12,44,1.97,-7.63,2.9,1.73,136.99
0.527,60,60,1.6,-0.2,5.99,10,275.34,60,60,0.47,-15,10,0.1,217.62,29.32,60,0.31,-15,1,0.1,268.79,29.26,55.07,2,-3.35,1,0.1,50
0.496,60,60,1.93,0,7.4,10,300,60,60,0,-12.66,10,1.81,300,58.76,60,0.23,-15,1,0.1,296.9,44.34,54.4,1.76,0,5.35,0.1,76.84
0.496,60,59.5,2,0,6.14,5.74,159.22,60,60,0,-15,10,3.81,300,60,60,0,-8.73,1,0.1,300,38.83,60,0.92,0,3.4,4.69,50
0.484,60,60,0.41,-1.96,8.05,4.13,50,60,60,0,-10.76,10,0.1,300,60,55.41,0,-15,1,0.1,300,17.88,60,0,-1.07,6.25,6.52,50
0.432,60,60,1.05,-1.64,9.05,3.3,50,60,60,0,0,5.45,1.78,300,60,60,0,-15,1,0.1,300,39.83,60,0,-15,8.66,9.56,50
0.437,60,60,1.81,-1.41,1.46,0.1,50,60,60,0,0,2.3,0.1,300,60,60,0,-15,1,0.24,300,44.27,58,0,-15,4.18,8.84,129.15
0.479,60,60,1.75,0,1,2.69,50,60,60,0,0,7.84,0.1,300,60,60,0,-15,1,1.27,300,15,37.87,0,-2.64,1.09,7.56,296.54
0.49,60,60,2,-4.52,1,1.94,50,60,60,0,0,10,0.1,300,60,60,0,-15,1,0.1,300,18.46,30,0,-2.55,1,6.18,300
0.502,60,60,2,-7.93,1,3.76,50,60,60,0,0,10,0.1,300,60,60,0.9,-15,1,1.47,300,15,30,0,-7.62,1.93,3.99,300
0.495,60,60,0.93,-7.19,1,5.08,50,60,60,0,0,10,0.1,300,60,60,0.63,-15,1,0.1,300,15,30,0,-3.33,1,3.34,300
0.492,60,60,2,-0.11,1,0.15,50,60,60,0,0,10,0.1,300,60,60,0.65,-15,1,0.1,300,18.37,30,0,-5.65,1.86,1.23,300
0.491,60,60,2,-2.84,1,4.75,50,60,60,0,0,10,0.1,300,60,60,1.43,-15,1,0.1,300,19.25,30,0,0,1,0.1,300
